g_00_4_regterson,regName,regNameEng,regNameISO
11000,Архангельская область,Arkhangelsk,ARK
11800,Ненецкий автономный округ,Nenets,NEN
71000,Тюменская область,Tyumen,TYU
71800,Ханты-Мансийский автономный округ - Югра,Khanty-Mansi,KHM
71900,Ямало-Ненецкий автономный округ,Yamalo-Nenets,YAN
1000000,Алтайский край,Altai Krai,ALT
3000000,Краснодарский край,Krasnodar,KDA
4000000,Красноярский край,Krasnoyarsk,KYA
5000000,Приморский край,Primorsky,PRI
7000000,Ставропольский край,Stavropol,STA
8000000,Хабаровский край,Khabarovsk,KHA
10000000,Амурская область,Amur,AMU
12000000,Астраханская область,Astrakhan,AST
14000000,Белгородская область,Belgorod,BEL
15000000,Брянская область,Bryansk,BRY
17000000,Владимирская область,Vladimir,VLA
18000000,Волгоградская область,Volgograd,VGG
19000000,Вологодская область,Vologda,VLG
20000000,Воронежская область,Voronezh,VOR
22000000,Нижегородская область,Nizhny Novgorod,NIZ
24000000,Ивановская область,Ivanovo,IVA
25000000,Иркутская область,Irkutsk,IRK
26000000,Республика Ингушетия,Ingushetia,IN
27000000,Калининградская область,Kaliningrad,KGD
28000000,Тверская область,Tver,TVE
29000000,Калужская область,Kaluga,KLU
30000000,Камчатский край,Kamchatka,KAM
32000000,Кемеровская область,Kemerovo,KEM
33000000,Кировская область,Kirov,KIR
34000000,Костромская область,Kostroma,KOS
36000000,Самарская область,Samara,SAM
37000000,Курганская область,Kurgan,KGN
38000000,Курская область,Kursk,KRS
40000000,Санкт-Петербург,St.Petersburg,SPE
41000000,Ленинградская область,Leningrad,LEN
42000000,Липецкая область,Lipetsk,LIP
44000000,Магаданская область,Magadan,MAG
45000000,Москва,Moscow,MOW
46000000,Московская область,Moscow Oblast,MOS
47000000,Мурманская область,Murmansk,MUR
49000000,Новгородская область,Novgorod,NGR
50000000,Новосибирская область,Novosibirsk,NVS
52000000,Омская область,Omsk,OMS
53000000,Оренбургская область,Orenburg,ORE
54000000,Орловская область,Oryol,ORL
56000000,Пензенская область,Penza,PNZ
57000000,Пермский край,Perm,PER
58000000,Псковская область,Pskov,PSK
60000000,Ростовская область,Rostov,ROS
61000000,Рязанская область,Ryazan,RYA
63000000,Саратовская область,Saratov,SAR
64000000,Сахалинская область,Sakhalin,SAK
65000000,Свердловская область,Sverdlovsk,SVE
66000000,Смоленская область,Smolensk,SMO
68000000,Тамбовская область,Tambov,TAM
69000000,Томская область,Tomsk,TOM
70000000,Тульская область,Tula,TUL
73000000,Ульяновская область,Ulyanovsk,ULY
75000000,Челябинская область,Chelyabinsk,CHE
76000000,Забайкальский край,Zabaykalsky,ZAB
77000000,Чукотский автономный округ,Chukotka,CHU
78000000,Ярославская область,Yaroslavl,YAR
79000000,Республика Адыгея,Adygea,AD
80000000,Республика Башкортостан,Bashkortostan,BA
81000000,Республика Бурятия,Buryatia,BU
82000000,Республика Дагестан,Dagestan,DA
83000000,Кабардино-Балкарская Республика,Kabardino-Balkaria,KB
84000000,Республика Алтай,Altai Republic,AL
85000000,Республика Калмыкия,Kalmykia,KL
86000000,Республика Карелия,Karelia,KR
87000000,Республика Коми,Komi,KO
88000000,Республика Марий Эл,Mari El,ME
89000000,Республика Мордовия,Mordovia,MO
90000000,Республика Северная Осетия-Алания,North Ossetia,SE
91000000,Республика Карачаево-Черкесия,Karachay-Cherkessia,KC
92000000,Республика Татарстан,Tatarstan,TA
93000000,Республика Тыва,Tuva,TY
94000000,Удмуртская Республика,Udmurtia,UD
95000000,Республика Хакасия,Khakassia,KK
96000000,Чеченская Республика,Chechnya,CE
97000000,Чувашская Республика,Chuvashia,CU
98000000,Республика Саха (Якутия),Sakha,SA
99000000,Еврейская автономная область,Yevreyskaya,YEV
		,Республика Крым,Crimea,UA-40
		,Севастополь,Sevastopol,UA-43
